action_prob 0,action_prob 1,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,td_loss,training_reward
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,300.6,0.0,0,6012,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,285.0
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,304.425,0.0,0,12177,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,300.0
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,298.8666666666667,0.0,0,17932,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,285.0
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,300.375,0.0,0,24030,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,275.625
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,299.45,0.0,0,29945,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,273.5
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,305.33,0.0,0,36545,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,278.5
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,304.13,0.0,0,42590,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,276.5
0.07862469,0.038368277,0.20760967,0.103716254,0.14811835,0.116527356,0.10263661,0.10302508,0.10137367,1.0,306.54,0.0,0,48586,-0.17059165,-0.88804644,0.8003823,0.1063815,0.46273428,0.22284868,0.0959173,0.09969503,0.0835361,0,283.0
0.02912655,0.044058397,0.043625306,0.0450755,0.050503593,0.034453508,0.6662483,0.041700777,0.04520805,0.9953371,311.51,0.0,0.4884594,55181,-0.15136419,0.26250175,0.2526232,0.28532457,0.3990301,0.016596638,2.9786482,0.20750538,0.28826082,5.126919,298.5
0.017050484,0.025075119,0.0072103487,0.019376557,0.021817729,0.013583525,0.86955625,0.0075811855,0.018748745,0.9894987999999999,317.23,0.0,0.21351543,61668,2.0380204,2.423718,1.1773591,2.1659057,2.2845647,1.8106996,5.969825,1.2275112,2.1329687,10.262876,307.0
0.0063006473,0.009212014,0.0011704353,0.0092328675,0.010983873,0.00580501,0.94391996,0.005247059,0.008128019,0.9839511999999999,312.87,0.0,0.037431035,67832,3.0869417,3.4667976,1.4036651,3.4690592,3.6427174,3.0050108,8.096331,2.903957,3.3416066,5.951822,298.0
0.0028637932,0.0061100256,0.0001330154,0.0058150818,0.0066579413,0.0016000895,0.9698687,0.0010136156,0.005937631,0.9785143,312.83,0.0,0.010586863,73873,6.5633674,7.3211513,3.4939294,7.271675,7.4070306,5.98128,12.388381,5.524744,7.2925305,6.6140676,293.5
0.0007808518,0.0016876278,0.0010228271,0.0016617376,0.0023528982,5.5381737e-05,0.98973185,0.0010323672,0.0016744881,0.9729621999999999,314.56,0.0,0.016838498,80042,9.644192,10.4148855,9.914132,10.3994255,10.74721,6.998057,16.788996,9.923416,10.407069,55.595825,292.5
0.0010942697,0.027571423,0.00036241463,0.004537242,0.0070349406,0.0013314765,0.93126047,0.019014567,0.007793225,0.9674658999999999,309.68,0.0,0.005731697,86149,7.5599303,10.786623,6.454877,8.982162,9.4207325,7.7561316,14.306382,10.415049,9.523098,18.457573,281.0
2.1232698e-05,0.008251298,0.0005422882,8.005788e-05,0.0074300757,5.8186328e-05,0.97980624,0.0023582247,0.0014524488,0.9622809999999999,302.42,0.0,0.0067986804,91910,6.979768,12.942351,10.220023,8.306975,12.837517,7.987876,17.719336,11.68989,11.205232,15.022019,266.0
