action_prob 0,action_prob 1,action_prob 2,action_prob 3,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,td_loss,training_reward
0.26134628,0.27717194,0.22435331,0.23712845,1.0,187.4,0.0,0,3748,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,0.75
0.26134628,0.27717194,0.22435331,0.23712845,1.0,205.05,0.0,0,8202,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.175
0.26134628,0.27717194,0.22435331,0.23712845,1.0,204.08333333333334,0.0,0,12245,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.1333333333333333
0.26134628,0.27717194,0.22435331,0.23712845,1.0,209.2125,0.0,0,16737,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.2125
0.26134628,0.27717194,0.22435331,0.23712845,1.0,209.94,0.0,0,20994,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.23
0.26134628,0.27717194,0.22435331,0.23712845,1.0,211.69,0.0,0,24917,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.26
0.26134628,0.27717194,0.22435331,0.23712845,1.0,209.65,0.0,0,29167,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.22
0.26134628,0.27717194,0.22435331,0.23712845,1.0,211.84,0.0,0,33429,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.28
0.26134628,0.27717194,0.22435331,0.23712845,1.0,209.84,0.0,0,37721,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.25
0.26134628,0.27717194,0.22435331,0.23712845,1.0,208.03,0.0,0,41797,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.22
0.26134628,0.27717194,0.22435331,0.23712845,1.0,210.31,0.0,0,45948,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.27
0.26134628,0.27717194,0.22435331,0.23712845,1.0,207.7,0.0,0,49937,-0.10413475,-0.045342967,-0.25675893,-0.20137903,0,1.23
0.22495249,0.2595713,0.26523355,0.25024268,0.9963207999999999,206.59,0.0,0.98400426,54088,-0.035262477,0.10787983,0.12945908,0.07127958,1.011035,1.19
0.23110123,0.2667253,0.24900793,0.2531655,0.9925056999999999,206.06,0.0,0.83632386,58327,0.097283445,0.24064688,0.17191231,0.18847112,1.0092472,1.2
0.23451088,0.2674439,0.248297,0.24974817,0.9886122999999999,208.56,0.0,0.71535563,62653,0.038523804,0.16993168,0.0956475,0.10147493,1.0009538,1.25
0.22931986,0.29014552,0.24429461,0.23624,0.9849853,207.35,0.0,0.6265574,66683,0.013733196,0.24899791,0.07699039,0.043463632,1.0007004,1.25
0.23120362,0.27648562,0.25185907,0.24045171,0.9812007999999999,209.51,0.0,0.5304535,70888,0.04010098,0.21896097,0.12567191,0.079321384,1.0028148,1.29
0.24696437,0.2650206,0.25804198,0.22997305,0.9773658999999999,210.61,0.0,0.40658224,75149,0.092122406,0.16268592,0.13600062,0.020840477,1.0006576,1.32
