action_prob 0,action_prob 1,action_prob 10,action_prob 11,action_prob 12,action_prob 13,action_prob 14,action_prob 15,action_prob 16,action_prob 17,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,action_prob 9,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 10,q_val_action 11,q_val_action 12,q_val_action 13,q_val_action 14,q_val_action 15,q_val_action 16,q_val_action 17,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,q_val_action 9,td_loss,training_reward
0.05166652,0.03831269,0.035917122,0.077714436,0.056843907,0.058476657,0.09077365,0.14845164,0.036186032,0.03825339,0.060183417,0.058369853,0.025894102,0.04138991,0.04420619,0.023843018,0.06066233,0.05285513,1.0,559.6,0.0,0,11192,0.0086411685,-0.2903877,-0.35495475,0.41687214,0.10414018,0.13245872,0.5722002,1.0640904,-0.34749568,-0.29193678,0.16122794,0.13063058,-0.6821537,-0.21313184,-0.14730394,-0.76467746,0.16915399,0.031385943,0,67.0
0.05166652,0.03831269,0.035917122,0.077714436,0.056843907,0.058476657,0.09077365,0.14845164,0.036186032,0.03825339,0.060183417,0.058369853,0.025894102,0.04138991,0.04420619,0.023843018,0.06066233,0.05285513,1.0,589.675,0.0,0,23587,0.0086411685,-0.2903877,-0.35495475,0.41687214,0.10414018,0.13245872,0.5722002,1.0640904,-0.34749568,-0.29193678,0.16122794,0.13063058,-0.6821537,-0.21313184,-0.14730394,-0.76467746,0.16915399,0.031385943,0,76.5
0.05166652,0.03831269,0.035917122,0.077714436,0.056843907,0.058476657,0.09077365,0.14845164,0.036186032,0.03825339,0.060183417,0.058369853,0.025894102,0.04138991,0.04420619,0.023843018,0.06066233,0.05285513,1.0,583.9,0.0,0,35034,0.0086411685,-0.2903877,-0.35495475,0.41687214,0.10414018,0.13245872,0.5722002,1.0640904,-0.34749568,-0.29193678,0.16122794,0.13063058,-0.6821537,-0.21313184,-0.14730394,-0.76467746,0.16915399,0.031385943,0,76.0
0.05166652,0.03831269,0.035917122,0.077714436,0.056843907,0.058476657,0.09077365,0.14845164,0.036186032,0.03825339,0.060183417,0.058369853,0.025894102,0.04138991,0.04420619,0.023843018,0.06066233,0.05285513,1.0,595.6875,0.0,0,47655,0.0086411685,-0.2903877,-0.35495475,0.41687214,0.10414018,0.13245872,0.5722002,1.0640904,-0.34749568,-0.29193678,0.16122794,0.13063058,-0.6821537,-0.21313184,-0.14730394,-0.76467746,0.16915399,0.031385943,0,80.5
0.05228802,0.055752143,0.051056713,0.05765142,0.05735569,0.06138155,0.054069087,0.05461554,0.057051904,0.05434753,0.056166325,0.053792022,0.051507093,0.052856866,0.053208496,0.06771069,0.052278973,0.056909937,0.9906453999999999,603.94,0.0,2.4264116,60394,0.13902678,0.20317529,0.11519655,0.23667438,0.23153155,0.2993687,0.17252216,0.18257795,0.22622097,0.17765862,0.21057688,0.16738462,0.123979,0.14984709,0.15647753,0.39750353,0.13885374,0.22372949,1.1961756,81.8
0.052560546,0.056157265,0.05492415,0.057997826,0.055543907,0.05497713,0.05906398,0.053063978,0.059872113,0.05358109,0.054349937,0.05237247,0.054761663,0.053303767,0.055617213,0.05905245,0.056629524,0.05617095,0.9802044999999999,608.03,0.0,2.2065814,71995,-0.0052344333,0.060955707,0.038752835,0.09320522,0.04997355,0.03971704,0.11142091,0.0042979885,0.12501054,0.013995914,0.028243132,-0.008819155,0.03579003,0.008806683,0.05129242,0.11122574,0.06933023,0.061199438,1.1662982,81.4
0.05405701,0.052139968,0.05493091,0.054496385,0.057636555,0.056068823,0.053037144,0.053804718,0.058594607,0.0526775,0.053896446,0.056302298,0.053675722,0.055573422,0.063146956,0.05963067,0.053062897,0.057267994,0.9688923999999999,609.77,0.0,2.1416247,84564,-0.0031026416,-0.03921001,0.012934368,0.0049925614,0.061015137,0.03343806,-0.022149257,-0.0077805854,0.07750094,-0.028953355,-0.006077297,0.0375935,-0.0101810675,0.024563279,0.15232277,0.09502819,-0.02166383,0.05460012,1.2044473,80.2
0.058667645,0.054453988,0.050376516,0.051868405,0.05249833,0.04824141,0.05554812,0.052310444,0.055043254,0.05485104,0.062474404,0.055211116,0.0578532,0.057674676,0.06351447,0.058825385,0.05477471,0.055812895,0.9576532,620.18,0.0,1.9263823,97052,0.076279186,0.0017468715,-0.07608404,-0.04689928,-0.034827806,-0.119391315,0.021640474,-0.038413074,0.012510172,0.009012017,0.13914782,0.015555121,0.062299646,0.05920909,0.1556586,0.07896432,0.0076194135,0.026395824,1.3712963,83.0
0.054960173,0.052418854,0.057224147,0.057925906,0.056754496,0.054309987,0.05525567,0.0529404,0.055007875,0.054223508,0.057474867,0.051805213,0.055687405,0.05565502,0.051347025,0.06340768,0.05155555,0.06204619,0.9447426999999999,637.42,nan,1.6813524,111397,0.07006654,0.02272414,0.11043377,0.12262252,0.10219264,0.05816593,0.07542878,0.032624483,0.070934154,0.05657234,0.11480559,0.010948636,0.08321188,0.0826301,0.0020647645,0.21304286,0.00611771,0.19133693,1.3164587,84.0
0.05679245,0.053819865,0.057133652,0.05524234,0.0493062,0.056957483,0.051942077,0.055743497,0.0578663,0.051367417,0.05441091,0.056336164,0.0524955,0.053307395,0.0627137,0.06789674,0.05087258,0.055795785,0.9340092999999999,629.29,nan,1.4996228,123323,0.14987251,0.09611173,0.15586247,0.12219889,0.008518938,0.15277423,0.060598418,0.13122988,0.16860439,0.049473263,0.1070338,0.14180586,0.07119663,0.086544245,0.24904916,0.32845718,0.039793227,0.13216747,1.2775307,83.8
