action_prob 0,action_prob 1,action_prob 2,action_prob 3,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,td_loss,training_reward
0.13354045,0.0368476,0.05792428,0.019203063,1.0,217.4,0.0,0,4348,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.5
0.13354045,0.0368476,0.05792428,0.019203063,1.0,220.15,0.0,0,8806,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.525
0.13354045,0.0368476,0.05792428,0.019203063,1.0,212.2,0.0,0,12732,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.3
0.13354045,0.0368476,0.05792428,0.019203063,1.0,211.625,0.0,0,16930,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.275
0.13354045,0.0368476,0.05792428,0.019203063,1.0,209.65,0.0,0,20965,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.23
0.13354045,0.0368476,0.05792428,0.019203063,1.0,206.97,0.0,0,25045,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.17
0.13354045,0.0368476,0.05792428,0.019203063,1.0,205.79,0.0,0,29385,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.12
0.13354045,0.0368476,0.05792428,0.019203063,1.0,211.94,0.0,0,33926,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.27
0.13354045,0.0368476,0.05792428,0.019203063,1.0,208.36,0.0,0,37766,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.19
0.13354045,0.0368476,0.05792428,0.019203063,1.0,211.4,0.0,0,42105,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.28
0.13354045,0.0368476,0.05792428,0.019203063,1.0,214.1,0.0,0,46455,0.0992811,-0.8151736,-0.6288624,-0.08793008,0,1.32
0.041609317,0.10729342,0.05018952,0.052265525,0.9995364999999999,211.3,0.0,0.95557386,50515,-0.13642612,-0.10238343,-0.13017908,-0.1346835,0.0042261616,1.28
0.046883672,0.10813782,0.043474246,0.05416916,0.9960174999999999,204.99,0.0,0.8731709,54425,-0.16268395,-0.100239396,-0.18106419,-0.13553104,0.0043153465,1.14
0.041221645,0.11416349,0.0437525,0.052476484,0.9922158999999999,208.83,0.0,0.8494188,58649,-0.14101823,-0.12375757,-0.17433484,-0.15943441,0.0048508667,1.21
0.04818912,0.10190515,0.050408684,0.049767464,0.9885303999999999,206.39,0.0,0.8389156,62744,-0.079696536,-0.08981461,-0.11708603,-0.0998286,0.0024336488,1.14
0.032411784,0.12334349,0.04587963,0.0498776,0.9847440999999999,204.96,0.0,0.82171077,66951,-0.089555345,-0.062697805,-0.09118508,-0.08198529,0.0037073845,1.11
0.039759006,0.10366585,0.04991384,0.056483246,0.9809946999999999,206.02,0.0,0.8221717,71117,-0.063213125,-0.075667396,-0.08044421,-0.08566428,0.002482148,1.11
0.043168932,0.07916866,0.061349533,0.066337496,0.9773982999999999,206.88,0.0,0.8309779,75113,-0.11047932,-0.10603327,-0.10285822,-0.11871207,0.0023781073,1.15
0.04286944,0.09363261,0.05696218,0.056723636,0.9735111999999999,207.83,0.0,0.8240468,79432,-0.08887387,-0.083362065,-0.08999402,-0.09107456,0.0029180723,1.18
0.047438037,0.08512784,0.056906186,0.06057149,0.9694737999999999,211.74,0.0,0.8270647,83918,-0.09564566,-0.085369065,-0.0685973,-0.088192806,0.0020614748,1.27
0.04921913,0.10228073,0.04668462,0.051716633,0.9659817999999999,208.47,0.0,0.82465535,87798,-0.099779405,-0.095181964,-0.09386627,-0.08305896,0.0024312509,1.24
0.0447441,0.1149672,0.04373426,0.046037324,0.9622765,207.98,0.0,0.8271666,91915,-0.063968174,-0.079669446,-0.07362938,-0.07236971,0.0019210094,1.25
0.035412032,0.124033414,0.043620706,0.046636168,0.9584299,210.76,0.0,0.8223444,96189,-0.08090339,-0.087467365,-0.08886691,-0.078464195,0.0020096516,1.29
0.03573606,0.12673163,0.040409636,0.047441196,0.9541746999999999,214.85,0.6451612903225806,0.82818663,100917,-0.082114935,-0.073932216,-0.07895603,-0.07331303,0.0013521069,1.41
0.03727097,0.13302328,0.038198408,0.040952157,0.9502308999999999,213.81,0.6451612903225806,0.82027143,105299,-0.07009055,-0.08319842,-0.07704205,-0.07986505,0.0014893145,1.38
0.031074682,0.13169512,0.042821784,0.044612892,0.9464311,217.23,0.6451612903225806,0.8314712,109521,-0.086706616,-0.081100635,-0.079810105,-0.08417175,0.0012354075,1.44
0.030570418,0.13863645,0.03758891,0.043853007,0.942931,214.95,0.6451612903225806,0.8335779,113410,-0.04619824,-0.0405608,-0.05200718,-0.05051183,0.0010087991,1.37
0.03747208,0.11825833,0.045538627,0.048799157,0.939259,213.01,0.6451612903225806,0.8282343,117490,-0.06439238,-0.062084522,-0.06168092,-0.063359216,0.0012622374,1.35
0.0389284,0.10903746,0.04854924,0.053552162,0.9353908,208.71,0.6451612903225806,0.82922524,121788,-0.0775991,-0.07791454,-0.08094995,-0.0816037,0.0015106923,1.25
0.03823775,0.103021964,0.05543224,0.05379628,0.9313984,209.25,0.6451612903225806,0.83838,126224,-0.06594076,-0.05415863,-0.06754282,-0.06707586,0.0014853525,1.29
0.03804347,0.105418585,0.049792,0.05693604,0.9274446999999999,210.96,0.6451612903225806,0.8243133,130617,-0.06765269,-0.060091343,-0.059807085,-0.061989434,0.0011630249,1.29
0.04342341,0.09046255,0.056823995,0.05933915,0.9238068999999999,212.49,0.6451612903225806,0.8284452,134659,-0.054432597,-0.05323752,-0.052508615,-0.06476721,0.00122621,1.36
0.03542483,0.102580875,0.054271203,0.057763133,0.9203463999999999,210.14,0.6451612903225806,0.82734644,138504,-0.07033406,-0.066971056,-0.06341342,-0.06281278,0.0010880679,1.31
0.04621812,0.10470007,0.0452873,0.053568408,0.9167571999999999,207.04,0.6451612903225806,0.83850336,142492,-0.052471545,-0.059985682,-0.055996224,-0.056179404,0.00093282224,1.27
0.043530602,0.109042116,0.0460005,0.051573895,0.9130257999999999,204.14,0.6451612903225806,0.82421756,146638,-0.0657121,-0.06514543,-0.06952392,-0.071128376,0.00069833815,1.19
0.045448113,0.10717555,0.041926123,0.055436514,0.9093889,200.62,0.6451612903225806,0.8335738,150679,-0.057242017,-0.06370372,-0.06954929,-0.060945183,0.0009910947,1.11
0.046186473,0.10930905,0.04066331,0.05366814,0.9055981,202.32,0.6451612903225806,0.85470384,154891,-0.08247736,-0.087988034,-0.0859842,-0.08361456,0.0015766823,1.14
0.042069856,0.112944074,0.042522427,0.052626383,0.9021186999999999,202.53,0.6451612903225806,0.84172386,158757,-0.0712657,-0.07005527,-0.07875405,-0.06683188,0.0010835051,1.15
0.04114032,0.12098122,0.038162485,0.04950537,0.8977194999999999,211.53,0.6451612903225806,0.8586339,163645,-0.057427954,-0.06805638,-0.07015267,-0.06573911,0.0012292766,1.3
0.04036709,0.113104984,0.044375498,0.052093405,0.8938440999999999,213.13,0.6451612903225806,0.8412604,167951,-0.052352354,-0.05498729,-0.0533887,-0.057791557,0.0012934804,1.35
0.040898908,0.121763475,0.041112058,0.045934625,0.8901855999999999,213.37,0.6451612903225806,0.84941155,172016,-0.07423988,-0.08295379,-0.079021454,-0.081942126,0.0015202642,1.38
0.049734186,0.0905767,0.051774852,0.057785165,0.8861851,215.7,0.6451612903225806,0.8405956,176461,-0.050518427,-0.056747817,-0.05346064,-0.05390245,0.0011413324,1.48
0.04837726,0.12708706,0.03984021,0.035043124,0.8825356,217.59,0.6451612903225806,0.84048843,180516,-0.08191414,-0.07230263,-0.07583362,-0.07717434,0.0013783253,1.51
0.026867568,0.12599489,0.044618,0.052401688,0.8788168,210.03,0.6451612903225806,0.84404135,184648,-0.032908257,-0.034654208,-0.028865652,-0.03972016,0.0011079789,1.37
0.031472217,0.118863605,0.047861136,0.051338788,0.8750106999999999,209.26,0.6451612903225806,0.8408584,188877,-0.025986712,-0.035690334,-0.025290601,-0.035039727,0.001456303,1.33
0.030257495,0.13701579,0.039238773,0.043674488,0.8710605999999999,212.5,0.6451612903225806,0.82862914,193266,-0.022085927,-0.02197688,-0.024621932,-0.0284998,0.0012382322,1.4
0.03633601,0.12367059,0.042094197,0.047703143,0.8676090999999999,206.4,0.6451612903225806,0.83232665,197101,-0.005345967,-0.0074914144,-0.004641355,-0.0020050616,0.0011372524,1.23
0.028105235,0.14473495,0.0376458,0.03911173,0.8637615999999999,208.6,1.86,0.8500688,201376,0.014553701,0.008370786,0.011356742,0.013292351,0.0016370213,1.28
0.026378453,0.13798365,0.040826365,0.044766873,0.8599905999999999,209.18,1.86,0.8453126,205566,-0.004826799,-0.0015896764,0.00270021,0.002177726,0.0018008578,1.28
0.023820756,0.1512124,0.03447426,0.04043522,0.8563797999999999,207.01,1.86,0.84884447,209578,0.021088691,0.024649302,0.02466787,0.033286087,0.0013108236,1.24
0.03213849,0.12290124,0.044189785,0.050822582,0.8530218999999999,200.43,1.86,0.842333,213309,0.036843702,0.044610865,0.051580906,0.04887683,0.0013573491,1.1
0.041279837,0.11602518,0.04231601,0.050468083,0.8489836,206.95,1.86,0.84431684,217796,0.049984507,0.054080125,0.051322382,0.058340777,0.0011167341,1.23
0.042108122,0.10587548,0.04663449,0.055109475,0.8451586,206.7,1.86,0.84367824,222046,0.03803363,0.034638505,0.042357426,0.04515479,0.0014295238,1.21
0.040435277,0.100161515,0.049097944,0.06041792,0.8413812999999999,206.77,1.86,0.85331273,226243,0.049610727,0.059154417,0.06493748,0.06487879,0.0013637197,1.24
0.048454892,0.10091865,0.044916295,0.055293027,0.8379306999999999,204.99,1.86,0.8673217,230077,0.053798165,0.045617215,0.06002597,0.051825255,0.0012922108,1.24
0.04840482,0.11965155,0.034265246,0.04744593,0.8341938999999999,209.2,1.86,0.84633887,234229,0.08212759,0.082958944,0.08868757,0.08833273,0.0016224671,1.36
0.04106308,0.119927056,0.033479348,0.05607403,0.8302869999999999,207.74,1.86,0.8446088,238570,0.054873936,0.07089041,0.063917235,0.07015646,0.0017381757,1.35
0.033689886,0.119545616,0.04105846,0.055413116,0.8262639999999999,209.94,1.86,0.85397685,243040,0.11441647,0.11014287,0.11659945,0.114487834,0.0011903286,1.39
0.032668587,0.12618509,0.03912716,0.051694404,0.8225271999999999,209.49,1.86,0.83064187,247192,0.10123587,0.10237342,0.112295665,0.11355524,0.0013532304,1.35
0.045835905,0.10926721,0.039870583,0.05439425,0.8185266999999999,215.6,1.86,0.828364,251637,0.112641715,0.10601006,0.12243332,0.12348375,0.001824544,1.45
0.043265633,0.10354357,0.044887133,0.057803836,0.8147251,216.32,1.86,0.82565314,255861,0.1594781,0.15547727,0.17546281,0.16825236,0.0014577376,1.44
