action_prob 0,action_prob 1,action_prob 2,action_prob 3,action_prob 4,action_prob 5,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,td_loss,training_reward
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,380.85,0.0,0,7617,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,166.25
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,398.45,0.0,0,15938,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,199.375
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,394.5833333333333,0.0,0,23675,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,194.58333333333334
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,389.0625,0.0,0,31125,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,178.125
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,389.99,0.0,0,38999,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,176.5
0.014392053,0.010703645,0.018718878,0.004021905,0.13013011,0.016418763,1.0,393.35,0.0,0,46952,-0.1205274,-0.054580003,0.970625,-0.5731224,0.81543064,0.694009,0,179.75
0.06659857,0.0027809553,0.0009292429,0.0024006409,0.01338507,0.0024288434,0.9955053999999999,390.56,0.0,-0.2123332,54994,-1.0466216,-0.39961606,-1.4310305,-0.4674866,0.788811,-0.44288468,124.860725,175.0
0.14126201,0.0057750577,0.0056803706,0.0053494438,0.007056358,0.0052385805,0.9881604999999999,394.8,0.0,-0.24191618,63155,0.24182655,0.1992235,0.21324457,0.17325097,0.30424115,0.1492202,0.7636825,172.25
0.12537368,0.008233252,0.008208334,0.009018835,0.0071913293,0.0082899,0.9811764999999999,397.9,0.0,-0.24049608,70915,0.1918713,0.20713356,0.19906817,0.28027996,0.06741384,0.21210292,60091.82,180.5
0.12932132,0.009807375,0.011324977,0.009749041,0.009439819,0.0105509935,0.9740196999999999,398.68,0.0,-0.2547419,78867,0.34364536,0.14882755,0.28852692,0.13665554,0.1681115,0.22570772,539.7609,181.5
0.1079918,0.012735126,0.01114925,0.010869314,0.011592645,0.012127688,0.9671436999999999,395.55,0.0,-0.25571555,86507,0.26568428,0.34573954,0.21285656,0.18878451,0.27839056,0.3063158,251.38615,171.25
0.1130771,0.011131912,0.010427262,0.0092228,0.010600736,0.010436992,0.9604801,389.17,0.0,-0.25885007,93911,0.33228254,0.42176706,0.35497403,0.23452027,0.38003892,0.3625671,249.63242,160.5
0.117612906,0.010502371,0.010981801,0.011557358,0.011287402,0.012371756,0.9535491999999999,384.57,0.0,-0.25947747,101612,0.5111848,0.33737135,0.384984,0.4319821,0.42656013,0.50985694,0.90160507,163.25
0.12372146,0.012471964,0.01185428,0.011710633,0.012529867,0.0118988035,0.9465372999999999,384.88,0.0,-0.25759965,109403,0.5805366,0.39138255,0.33900088,0.3284522,0.4178278,0.34766832,0.8306925,163.75
0.11634642,0.012122402,0.01124894,0.013047215,0.011544688,0.012607224,0.9394317999999999,384.31,0.0,-0.25470367,117298,0.59786844,0.46798226,0.389508,0.54290175,0.421195,0.5199992,0.80387545,158.0
0.12916082,0.005562682,0.0062499484,0.006260361,0.0057100286,0.0065010875,0.9324667,385.3,0.0,-0.2579932,125037,0.52091265,0.5015826,0.62001264,0.6233482,0.5192901,0.66854584,0.8298568,165.25
0.10680397,0.011616839,0.009879676,0.011105906,0.010678777,0.011046122,0.9256194999999999,387.34,0.0,-0.25979394,132645,0.46465653,0.5963918,0.43532112,0.5547127,0.5099226,0.5518709,509.08203,168.25
0.11607544,0.04646911,0.0041746506,0.003996105,0.0121609755,0.0049042166,0.9186291999999999,388.0,0.0,-0.24504806,140412,2.2343085,3.1054492,0.7027333,0.6675616,1.79412,0.85980624,561.72595,170.25
0.17421593,0.0023766896,0.0017536059,0.003514837,0.0010572501,0.0017623738,0.9119035,384.82,0.0,-0.24960093,147885,1.0432454,1.0266786,0.72266656,1.4404788,0.22180633,0.7329469,877.0066,169.0
0.023081915,0.016424151,0.018507048,0.005570345,0.010888477,0.010778564,0.9050256999999999,382.29,0.0,-0.2468734,155527,3.6559305,5.669031,5.790995,4.5873146,5.259053,5.251124,1156.2809,170.5
0.09340696,0.014554075,0.015905736,0.015573857,0.013744961,0.013067399,0.8983467999999999,379.11,0.0,-0.24739611,162948,4.8003216,4.8011994,4.8923283,4.877059,4.7518463,4.696877,247.33684,162.25
0.048436034,0.010908,0.011764541,0.012906984,0.00855098,0.012092889,0.8909613999999999,385.09,0.0,-0.24768135,171154,3.817748,4.765262,4.854249,4.949166,4.500702,4.888338,4.9719048,169.0
0.68962467,0.0011105132,0.0012554986,0.00047308553,0.0013144122,0.0013945036,0.8842266999999999,382.25,0.0,-0.20428394,178637,1.5784469,-1.8424085,-1.7075543,-2.6937385,-1.703921,-1.6286556,13380.866,158.5
0.22719374,0.0030301614,0.0048366375,0.0020433757,0.0066625252,0.0062111276,0.8773903,383.48,0.0,-0.241505,186233,3.670493,2.6371377,3.125163,2.267088,3.4483128,3.3602715,1.4400264,150.75
0.22769216,0.00792162,0.0036047928,0.0050680656,0.008261766,0.0043952614,0.8704432,384.25,0.0,-0.24316749,193952,2.966616,2.5755248,1.7937204,2.1276956,2.6146445,1.9735943,1822.3855,153.25
0.004856883,0.020758424,0.0008869677,0.0009727934,0.0019448205,0.0036288656,0.8635473999999999,386.66,0.0,-0.24495378,201614,1.7576152,6.6193013,3.4782336,3.5751402,4.2659717,4.8768315,14.196613,161.25
0.09217552,0.0046263635,0.005241585,0.0057014413,0.0050000073,0.009560669,0.8564886999999999,383.03,0.0,-0.2399546,209457,3.8306227,4.044486,4.161404,4.257016,4.1120796,4.7569017,1.6795001,155.5
0.100808665,0.012629761,0.013328568,0.011321482,0.015931878,0.010802902,0.8498701,381.74,0.0,-0.24406679,216811,3.9986517,4.0129166,4.064564,3.9074244,4.236454,3.8512623,0.855217,155.25
0.19307177,0.02096558,0.013065522,0.008865989,0.0044734427,0.0038321014,0.8428914999999999,383.32,0.0,-0.24287924,224565,6.5892224,6.5161386,6.0397434,5.6539383,4.9687157,4.8058467,349.18234,161.0
0.09269014,0.016664075,0.027763145,0.010121768,0.015368111,0.011766624,0.8363628999999999,378.67,0.0,-0.24439988,231819,4.040443,3.929863,4.437567,3.431135,3.842738,3.573034,1.0591604,152.25
0.13296618,0.0039409827,0.00566903,0.005128043,0.006085781,0.004801672,0.8296857999999999,376.24,0.0,-0.2468289,239238,2.9940834,2.8061366,3.1696165,3.073511,3.23188,3.0006487,1.0083021,144.75
0.16927151,0.014071592,0.007530996,3.3326047e-05,0.024895133,0.019746853,0.8226361,376.14,0.0,-0.24403454,247071,11.159769,10.258917,9.638036,4.2102036,10.84396,10.596903,322.07217,139.25
0.12087022,0.012787684,0.010687529,0.0120366905,0.009438088,0.011150175,0.8150895999999999,386.45,0.0,-0.24475832,255456,3.7471168,3.7534802,3.5799432,3.694144,3.4643402,3.6142874,0.61782587,152.5
0.09665017,0.010446662,0.010506515,0.0098556,0.009862943,0.011840639,0.807958,388.15,0.0,-0.24788909,263380,3.8977623,4.1005692,4.114663,4.047334,4.0575233,4.2271795,135.63242,159.0
0.12321553,0.007517087,0.007815552,0.0068891565,0.009717333,0.008790942,0.801433,388.11,0.0,-0.24826221,270630,3.8056393,3.7531147,3.7908008,3.6646426,4.016442,3.9044409,0.7404564,163.75
0.12908706,0.011083499,0.00998363,0.009229039,0.008403537,0.010039175,0.7945578999999999,390.31,0.0,-0.2474613,278269,3.941211,3.9479027,3.8458374,3.766229,3.6806529,3.8445704,0.86665237,170.5
0.06824068,0.0050801034,0.014696524,0.004888996,0.006813816,0.0030115193,0.7878060999999998,387.0,0.0,-0.25230083,285771,3.4146876,3.8844433,4.9480057,3.8483732,4.190908,3.3566215,1899.61,168.75
0.112853765,0.0060389778,0.0047341734,0.006716289,0.0066528944,0.0049034837,0.7814466999999998,373.81,0.0,-0.24461642,292837,4.4848094,4.765609,4.515587,4.8690763,4.8765154,4.5500317,491.67532,143.5
2.0475932e-06,0.000131727,0.08312783,0.0020046527,1.7801525e-05,0.021916972,0.7749261999999999,367.02,0.0,-0.24472147,300082,1.023479,6.651199,13.1001005,9.365241,4.6520586,11.757238,6425278.5,133.5
0.004386104,0.010606541,0.011705194,0.016846662,0.0011142469,0.007737232,0.7677594999999999,374.15,0.0,-0.24655287,308045,7.1333942,10.766239,10.871771,11.233714,8.529986,10.4591465,5.2501345,152.0
0.059119087,0.012571512,0.008726703,0.012731377,0.011792151,0.008546276,0.7611804999999999,370.86,0.0,-0.24722165,315355,9.628097,10.548652,10.187658,10.568238,10.48453,10.170666,1.8868893,151.25
0.0031239525,0.00065578346,6.983949e-05,0.032608964,0.00042349205,0.04486419,0.754705,367.79,0.0,-0.23709026,322550,12.579283,13.0445595,10.862744,16.951118,12.666645,17.298557,1611522.4,147.0
0.1432231,0.032216936,0.002907889,0.016125195,0.0007760678,0.0066564754,0.7473006999999999,379.4,0.0,-0.22162282,330777,16.965736,17.588617,15.182676,16.85012,13.913931,16.006594,4046657.2,171.75
0.03989731,0.00070262706,0.01031593,0.00083949266,0.0026375882,0.0005034671,0.7403823999999999,383.82,0.0,-0.22022294,338464,12.767012,12.790503,15.503481,12.950075,14.069973,12.443393,828.6719,185.75
0.1237626,0.007976086,0.010063718,0.008280793,0.021222185,0.0081410995,0.7338312999999999,376.98,0.0,-0.22782627,345743,14.148063,13.654169,13.918573,13.693938,14.638032,13.699922,1.6419617,154.75
0.09182195,0.010044788,0.033621043,0.0063290205,0.026655631,0.008113203,0.7268769999999999,381.15,0.0,-0.22325009,353470,14.478156,13.752256,14.976074,13.293896,14.747078,13.550832,557.9673,157.5
0.08136762,0.004407493,0.0020913167,0.0037243217,0.0053015663,0.0022105959,0.7204626999999999,380.47,0.0,-0.22903879,360597,13.189272,14.106864,13.374712,13.936002,14.295049,13.415801,1.679447,145.75
